year,stcd,inc,pwin,dv,dvp,fr,po1,po2 ,redist ,dexp ,rexp,dpres
2014,101,0,0,31.8,,2,0,0,0,35603,1655998.6,37.70
2014,102,0,0,32.6,36.3,0,0,0,0,10473,793565.21,36.66
2014,103,0,0,33.8,35.9,0,0,0,0,9000,941431.5,37.13
2014,104,0,0,,25.9,0,5,2,0,,909880.91,24.29
2014,105,0,0,,35.0,0,5,2,0,,299837.5,35.32
2014,106,3,0,23.7,28.7,9,0,0,0,165464.66,1991338.25,24.95
2014,107,1,1,,75.9,0,5,2,0,1468012.7,,72.76
2014,201,0,0,44.6,30.9,0,0,0,0,230088.83,809039.2,42.69
2014,301,1,1,52.6,51.9,1,1,4,0,3340584.56,1377528.21,48.73
2014,302,1,0,50.0,50.4,0,0,0,0,3610617.45,4466677.51,49.24
2014,303,1,1,55.8,61.1,0,0,0,0,561116.42,103441.35,62.46
2014,304,0,0,26.9,29.8,0,0,0,0,38071.77,401796.79,31.57
2014,305,0,0,30.4,32.8,0,0,0,0,56749.88,578157.16,35.16
2014,306,0,0,35.1,35.2,0,0,0,0,10370.25,1119893.85,39.47
2014,307,2,1,,,9,7,2,0,911026.32,,73.01
2014,308,0,0,,35.6,0,5,2,0,,414180.65,37.42
2014,309,1,1,56.6,52.2,1,0,0,0,3464333.4,1328058.64,52.30
2014,401,0,0,33.9,41.0,0,1,0,0,279780.51,665075.08,37.31
2014,402,3,0,45.7,41.7,9,2,0,0,1563841.26,2149743.85,43.95
2014,403,0,0,,,0,5,2,0,,574943.7,32.54
2014,404,3,0,44.2,38.1,9,0,0,0,1189666.78,955239.74,36.75
2014,501,0,0,39.0,42.6,1,0,0,0,233970.36,730253.27,41.59
2014,502,1,1,75.0,71.2,1,0,0,0,887467.53,5462,71.88
2014,503,1,1,52.7,54.2,0,1,4,0,1320607.27,1600768.31,55.75
2014,504,9,0,,38.9,0,5,2,0,, ,40.55
2014,505,1,1,,74.5,0,5,2,0,1712297.91,,71.71
2014,506,1,1,72.7,75.1,0,0,0,0,982391.48,20950.18,70.94
2014,507,1,1,50.4,51.7,1,1,8,0,4355563.29,8555545.86,52.05
2014,508,0,0,32.4,,1,0,0,0,6104,303183.16,42.86
2014,509,1,1,52.4,55.6,0,0,0,0,1109114.54,62057.76,59.04
2014,510,0,0,43.9,47.3,0,0,0,0,1291436.26,1753320.93,51.84
2014,511,2,1,67.3,69.7,9,2,5,0,541227.55,118994.01,69.26
2014,512,1,1,83.3,85.1,0,0,0,0,2395066.14,600046.35,87.06
2014,513,1,1,88.5,,0,0,0,0,1100730.18,4940,90.67
2014,514,1,1,76.7,78.9,0,0,0,0,841038.54,25019.95,75.87
2014,515,1,1,69.8,,1,0,0,0,1669313.51,24477.23,69.53
2014,516,1,1,50.7,57.4,0,0,0,0,1116677.4,342204.12,59.80
2014,517,8,1,,73.5,0,5,2,0, ,,73.82
2014,518,1,1,67.8,70.5,0,0,0,0,1540092.76,41249.25,70.24
2014,519,8,1,,73.2,0,5,2,0,682507.16,,72.88
2014,520,1,1,,74.1,0,5,2,0,747789.34,,73.02
2014,521,0,0,42.2,42.2,1,0,0,0,1690530,2732693.38,55.66
2014,522,0,0,28.0,38.1,0,0,0,0,36799.17,1536605.03,42.36
2014,523,0,0,25.2,,0,0,0,0,8931.34,5935084.48,36.99
2014,524,1,1,51.9,55.1,0,0,0,0,2493169.87,490474.37,55.66
2014,525,10,0,,45.2,9,6,6,0,,2067141.51,49.03
2014,526,1,1,51.3,52.7,1,1,4,0,3364754.34,1298190.88,55.27
2014,527,1,1,59.4,64.0,0,0,0,0,737543.01,169258.9,64.14
2014,528,1,1,,76.5,0,5,2,0,870294.85,,72.62
2014,529,1,1,74.6,,1,0,0,0,953305.27,,78.97
2014,530,1,1,65.6,,0,0,0,0,1327753.62,5065.97,67.04
2014,531,3,1,51.7,,9,2,0,0,2246264.88,522741.85,58.49
2014,532,1,1,59.7,65.7,0,0,0,0,304898.12,61035.9,66.73
2014,533,2,1,59.2,,9,2,5,0,2249521.4,1625539.63,62.22
2014,534,8,1,,85.6,0,5,2,0,1465622.65,,85.48
2014,535,6,1,,,9,2,5,0, ,,68.78
2014,536,1,1,54.2,52.9,1,1,4,0,3087543.45,1292192.98,51.63
2014,537,1,1,84.3,86.4,0,0,0,0,822020.87,14692.73,86.99
2014,538,1,1,59.1,67.5,0,0,0,0,1027338.66,7079.75,66.29
2014,539,0,0,31.5,42.2,0,0,0,0,5208.98,1743860.38,48.11
2014,540,8,1,,,0,5,2,0,498231.05,,83.16
2014,541,1,1,56.6,59.0,1,1,0,0,1312896.41,230976.44,62.88
2014,542,0,0,34.3,39.4,0,0,0,0,101404.39,1206750.52,42.29
2014,543,1,1,71.0,,0,0,0,0,1062921.15,11819.14,79.59
2014,544,1,1,,,0,5,2,0,723717.91,,86.16
2014,545,3,0,34.9,41.5,9,3,6,0,122684.64,1323769.7,43.97
2014,546,1,1,59.7,63.9,0,1,0,0,1284391.54,15757.64,62.91
2014,547,1,1,56.0,56.6,1,0,0,0,506596.9,59582.15,61.54
2014,548,0,0,35.9,39.0,0,0,0,0,111839.1,795322.8,44.01
2014,549,0,0,39.8,41.8,0,0,0,0,85320.75,1749467.11,46.59
2014,550,0,0,28.8,32.3,0,0,0,0,38433.5,841310.21,38.37
2014,551,1,1,68.8,71.5,1,0,0,0,801518.88,,70.60
2014,552,1,1,51.6,51.2,1,1,0,0,4504002.79,3353676.65,53.27
2014,553,1,1,58.8,61.4,0,0,0,0,541154.93,202898.09,62.78
2014,601,1,1,69.4,71.8,0,0,0,0,1068909.37,16324.67,70.55
2014,602,1,1,56.7,59.1,0,0,0,0,1207969,363465.97,59.45
2014,603,0,0,38.1,43.5,0,1,4,0,294804.67,1268958.94,46.93
2014,604,3,0,31.1,38.6,9,4,0,0,74379.49,1268048.88,40.12
2014,605,0,0,40.2,,0,5,2,0,833960.84,574480.8,39.32
2014,606,0,0,45.3,48.9,0,1,4,0,5145369.66,4711131.67,52.60
2014,607,1,1,55.1,56.7,0,0,0,0,1891891.94,298112.3,57.60
2014,701,1,1,63.3,71.5,0,0,0,0,1659154.41,32290.76,64.00
2014,702,1,1,63.7,69.9,0,0,0,0,1127169.97,62120.54,56.75
2014,703,1,1,67.1,74.7,0,0,0,0,1236492.14,6836.56,63.30
2014,704,1,1,53.7,60.0,0,1,4,0,2371454,1273919.55,55.60
2014,705,1,1,53.8,51.3,1,0,0,0,2946026.22,2049246.76,54.15
2014,801,1,1,61.7,65.8,0,0,0,0,1146816.96,21925.97,59.43
2014,901,0,0,25.0,28.1,0,0,0,0,15904,543973.79,30.54
2014,902,0,1,50.6,47.3,0,0,0,0,3663382.5,2971841.01,47.06
2014,903,0,0,33.2,33.4,1,0,0,0,80417.92,791906.7,37.82
2014,904,0,0,,,0,5,2,0,,1642950.8,35.72
2014,905,1,1,65.5,72.9,0,0,0,0,607417.71,134123.05,71.70
2014,906,0,0,37.5,42.8,1,0,0,0,37892.44,430187.94,41.78
2014,907,0,0,33.6,41.3,0,0,0,0,53574.74,727555.78,47.62
2014,908,0,0,34.1,38.9,0,0,0,0,106401.92,1042652.48,42.63
2014,909,1,1,55.6,62.5,1,0,0,0,3402601.42,439305.8,62.46
2014,910,0,0,38.5,48.3,0,0,0,0,33623.3,941146.82,46.12
2014,911,0,0,33.3,35.5,0,0,0,0,67136.51,317246.38,40.61
2014,912,0,0,,34.2,0,5,2,0,,700433.62,45.34
2014,913,0,0,,42.4,3,5,2,0,,1835874.26,50.76
2014,914,1,1,,70.2,0,5,2,0,472947.57,,65.69
2014,915,0,0,39.7,,0,0,0,0,429906.11,1398150.22,46.11
2014,916,0,0,38.4,46.4,0,0,0,0,60744.01,1101628.17,45.31
2014,917,0,0,36.8,41.4,0,0,0,0,24607.37,669303.6,41.57
2014,918,1,1,59.8,50.3,1,1,4,0,4924767.66,1498449.51,47.94
2014,919,0,0,33.7,36.6,3,0,0,0,231797.67,4824230,39.03
2014,920,1,1,81.6,,0,0,0,0,811994.66,25608.81,82.93
2014,921,1,1,,,0,5,2,0,1006801.03,,60.90
2014,922,1,1,58.0,54.6,1,0,0,0,1354369.48,145296.58,54.78
2014,923,1,1,62.7,64.0,0,0,0,0,2753276.21,517856.39,61.87
2014,924,1,1,89.4,,0,0,0,0,234359.29,12040,87.85
2014,925,0,0,,,0,5,2,0,,605137.24,48.94
2014,926,1,0,48.5,55.5,1,1,0,0,3787929.88,2357633.17,53.37
2014,927,0,0,,38.0,0,5,2,0,,850120.46,53.37
2014,1001,3,0,39.1,37.0,9,3,6,0,46857.7,63777.05,43.48
2014,1002,1,1,59.2,63.8,0,1,0,0,1091589.1,17383.61,58.95
2014,1003,0,0,,,0,5,2,0,,1045183.45,33.37
2014,1004,1,1,,73.6,0,5,2,0,640573.24,,74.19
2014,1005,1,1,,84.4,0,5,2,0,745565.52,,84.02
2014,1006,0,0,34.0,35.5,0,0,0,0,24572.91,1724934.57,38.15
2014,1007,0,0,34.6,37.8,0,1,0,0,19471,500041.47,38.88
2014,1008,0,0,,,0,5,2,0,,800954.98,37.84
2014,1009,0,0,19.3,23.8,1,0,0,0,27968.16,664454.62,20.79
2014,1010,3,0,33.5,,9,0,0,0,35774,949719.72,36.74
2014,1011,3,0,,31.4,9,6,6,0,,1034391.57,32.01
2014,1012,1,0,45.2,53.7,0,0,0,0,3536271.13,3083059.59,44.04
2014,1013,1,1,,71.7,0,5,2,0,1157434.33,,69.76
2014,1014,0,0,,27.0,0,5,2,0,,736722.39,25.69
2014,1101,2,1,51.9,54.6,9,4,7,0,1826464.36,1018461.8,70.62
2014,1102,1,1,80.9,80.5,1,0,0,0,905585.06,,72.78
2014,1201,0,0,35.0,32.8,0,1,4,0,225143.94,425010.5,33.16
2014,1202,0,0,38.6,34.8,0,1,8,0,113773.63,2462427.92,34.05
2014,1301,1,1,73.1,73.8,0,0,0,0,344604.21,,79.64
2014,1302,1,1,78.5,73.2,2,0,0,0,1421097.35,21770.95,81.35
2014,1303,1,1,64.6,68.5,0,1,0,0,618212.09,32937,56.75
2014,1304,1,1,78.1,83.0,0,0,0,0,408968.09,0,82.55
2014,1305,1,1,67.4,69.7,0,0,0,0,779868.08,345811.21,67.48
2014,1306,0,0,32.9,40.8,0,0,0,0,,4079869.91,45.83
2014,1307,1,1,85.1,88.5,0,0,0,0,469170.22,,88.08
2014,1308,1,1,55.7,54.7,1,0,0,0,2289837.46,335872.88,58.39
2014,1309,1,1,66.1,66.3,0,0,0,0,1327080.7,,66.12
2014,1310,1,0,48.7,50.6,1,1,8,0,4854838.27,3648085.17,58.32
2014,1311,1,1,53.5,58.6,1,1,4,0,1812623.24,763134.21,58.74
2014,1312,1,0,44.4,54.7,1,1,4,0,1993752.18,1291882.8,50.77
2014,1313,0,0,41.3,49.8,1,0,0,0,1936927.07,3382440.78,49.85
2014,1314,0,0,34.6,41.2,0,0,0,0,56701.85,957244.67,44.92
2014,1315,0,0,25.1,31.4,0,0,0,0,24243,1816163.09,34.80
2014,1316,0,0,29.4,38.2,0,0,0,0,14264.16,1377467.14,46.08
2014,1317,1,1,55.5,53.3,1,1,8,0,3089767.62,1144068.66,58.66
2014,1318,0,0,25.3,25.8,0,0,0,0,25570.79,1534175.84,38.12
2014,1401,1,1,62.9,67.3,0,0,0,0,892912.78,11942,62.07
2014,1402,0,0,39.4,49.3,1,0,0,0,816818.86,1836516.26,42.87
2014,1403,0,0,28.9,33.0,0,0,0,0,760.54,1061403.86,36.35
2014,1404,0,0,33.1,35.5,0,0,0,0,40477.26,1157768.84,37.73
2014,1405,0,0,32.1,39.2,1,0,0,0,3987.43,1018137.3,41.45
2014,1406,0,0,30.8,37.3,1,0,0,0,8149.37,869108.07,38.18
2014,1407,1,1,56.7,62.9,0,0,0,0,782921.25,10917,63.99
2014,1408,0,0,37.3,44.7,0,0,0,0,32275.51,820412.55,40.41
2014,1409,0,0,35.1,44.6,0,1,4,0,112786.19,1405164.53,41.57
2014,1501,2,0,48.9,57.8,9,2,5,0,1416830.14,1035951.96,56.94
2014,1502,1,1,52.6,56.7,0,0,0,0,1721735.53,940493.03,56.65
2014,1503,3,0,44.5,45.5,9,2,5,0,2162366.16,1968425.42,52.13
2014,1504,0,0,38.3,45.9,0,0,0,0,2167517.19,1983500.69,45.90
2014,1601,0,0,32.0,,0,1,0,0,170569.13,878253.29,28.25
2014,1602,0,0,40.4,40.4,0,0,0,0,777140.76,3122371.57,43.03
2014,1603,0,0,40.0,,0,1,4,0,376690.32,1971401.59,45.16
2014,1604,0,0,33.3,33.7,0,0,0,0,12195.76,2673678.29,36.95
2014,1701,0,0,26.9,30.4,0,0,0,0,,1447565.95,32.59
2014,1702,0,0,30.8,33.0,0,0,0,0,144599.3,1292842.9,35.67
2014,1703,1,1,64.1,64.9,0,0,0,0,833527.31,176003.9,56.55
2014,1704,0,0,32.3,36.0,1,0,0,0,,558876.23,35.44
2014,1705,0,0,21.7,22.1,0,0,0,0,6293,1125831.74,23.63
2014,1706,0,0,40.0,48.0,1,0,0,0,886670.39,2295731.11,43.06
2014,1801,0,0,19.6,,0, , ,0,,2742971.16,27.51
2014,1802,1,1,,,0,,,0,,,76.88
2014,1803,0,0,,,0,,,0,,,32.83
2014,1804,0,0,,,0,5,2,0,,,40.22
2014,1805,0,0,28.7,,2,,,0,197326.64,884868.13,38.20
2014,1806,3,0,35.0,,9,,,0,432872.67,1527594.63,32.62
2014,1901,1,1,66.3,64.8,0,0,0,0,381502.1,20787.57,60.94
2014,1902,2,0,47.1,58.2,9,4,5,0,1969516.56,1720116.21,54.37
2014,2001,0,0,29.5,30.2,0,0,0,0,573289.15,1169105.97,38.53
2014,2002,1,1,63.1,67.8,0,0,0,0,893338.66,923,64.18
2014,2003,1,1,59.6,69.3,0,0,0,0,756851.31,3715,61.96
2014,2004,1,1,71.3,78.8,0,0,0,0,567094.49,39688.08,79.09
2014,2005,1,1,64.2,71.5,0,0,0,0,3843175.61,26577.35,67.21
2014,2006,1,1,50.7,60.8,1,0,0,0,2586096.73,1465984.14,56.53
2014,2007,1,1,72.1,78.6,0,0,0,0,787933.38,,77.16
2014,2008,1,1,60.9,65.8,0,0,0,0,1412129.3,15818,63.20
2014,2101,1,1,,,0,5,2,0,1241116.89,,65.11
2014,2102,1,1,,,0,5,2,0,855086.84,,59.96
2014,2103,1,1,63.0,66.0,0,0,0,0,958139.92,30431.21,57.88
2014,2104,1,1,,63.0,1,5,2,0,1629037.24,,58.03
2014,2105,1,1,,75.6,2,5,2,0,1943088.62,,66.33
2014,2106,2,1,57.2,50.6,9,3,6,0,3326394.26,2008058.76,55.48
2014,2107,1,1,,,0,5,2,0,653147.33,,84.10
2014,2108,1,1,,76.2,0,5,2,0,1235107.96,,58.62
2014,2109,1,1,55.0,64.6,0,0,0,0,1387397.22,1016238.44,56.29
2014,2201,0,0,46.5,49.7,0,1,0,0,1002506.43,2176821.68,45.80
2014,2202,0,0,34.3,35.9,0,0,0,0,53344.98,1105248.33,43.49
2014,2203,0,0,40.3,45.6,0,0,0,0,317529.06,1554133.68,46.31
2014,2204,3,0,40.9,34.7,9,4,6,0,133963.28,1128662.1,45.96
2014,2205,1,1,68.2,67.4,1,0,0,0,938757.28,,61.31
2014,2206,0,0,41.9,43.8,0,0,0,0,793361.74,3941683.73,49.29
2014,2207,0,0,43.5,44.6,0,1,4,0,1375605.15,1784290.9,48.43
2014,2208,3,0,43.5,38.9,9,4,6,0,503638.41,1018364.64,48.44
2014,2209,1,1,62.6,64.5,0,0,0,0,1491686.94,42049.82,57.72
2014,2210,0,0,29.9,30.2,0,1,0,0,,795742.33,44.14
2014,2211,3,0,42.0,46.6,9,0,0,0,815445.33,4958199.59,47.28
2014,2212,2,1,67.5,70.1,9,0,0,0,1272507.7,47906.19,66.87
2014,2213,1,1,83.0,85.9,0,0,0,0,833998.91,,85.63
2014,2214,2,1,79.8,84.0,9,2,0,0,660742.9,,81.33
2014,2301,1,1,54.3,57.6,0,0,0,0,1559502.97,238633.77,50.72
2014,2302,0,0,41.0,45.9,0,1,4,0,933331.9,3226366.88,50.05
2014,2303,0,0,37.8,41.8,0,0,0,0,127646.87,2695111.36,50.41
2014,2304,1,1,65.0,66.4,0,0,0,0,740086.05,130281.97,63.78
2014,2305,1,1,74.7,74.7,0,0,0,0,1984754.12,39018.76,75.38
2014,2306,3,0,40.5,49.4,9,4,6,0,221219.02,2030950.22,42.35
